rule,mark,self_buy_floor,flow_mult,max_entry_mult,trail_pct,tp_mult,hard_stop_pct,time_stop_s,loop1_triggers,loop1_wins,loop1_pnl_usd,loop1_pnl_ex_best_usd,loop1_hits_caught,loop1_misses_entered,loop1_worst_usd,loop1_median_usd,loop2_triggers,loop2_wins,loop2_pnl_usd,loop2_pnl_ex_best_usd,loop2_hits_caught,loop2_misses_entered,loop2_worst_usd,loop2_median_usd,min_ex_best,total_pnl,wr
hold,180,0.2,1.5,0,0.4,5,0.5,1800,14,10,4040.78,752.51,12,2,-26.38,29.82,9,4,191.5,-103.64,3,6,-52.72,-1.38,-103.64,4232.280000000001,0.6086956521739131
hold,180,0.2,1.5,0,0.5,0,0.3,900,14,10,531.32,389.27,12,2,-17.41,20.8,9,4,279.11,-131.35,3,6,-52.72,-5.37,-131.35,810.4300000000001,0.6086956521739131
hold,180,0.2,1.5,0,0.5,0,0.3,1800,14,9,1145.22,488.62,12,2,-17.41,23.33,9,4,657.98,-34.11,3,6,-52.72,-1.38,-34.11,1803.2,0.5652173913043478
hold,180,0.2,1.5,0,0.5,0,0.5,900,14,11,554.26,412.21,12,2,-26.38,20.8,9,4,279.11,-131.35,3,6,-52.72,-5.37,-131.35,833.37,0.6521739130434783
hold,180,0.2,1.5,0,0.5,0,0.5,1800,14,9,1136.81,480.21,12,2,-26.38,23.33,9,4,657.98,-34.11,3,6,-52.72,-1.38,-34.11,1794.79,0.5652173913043478
hold,180,0.2,1.5,0,0.5,5,0.3,900,14,10,626.79,426.74,12,2,-17.41,20.8,9,4,163.79,-131.35,3,6,-52.72,-5.37,-131.35,790.5799999999999,0.6086956521739131
hold,180,0.2,1.5,0,0.5,5,0.3,1800,14,9,752.35,541.16,12,2,-17.41,23.33,9,4,261.03,-34.11,3,6,-52.72,-1.38,-34.11,1013.38,0.5652173913043478
hold,180,0.2,1.5,0,0.5,5,0.5,900,14,11,649.73,449.68,12,2,-26.38,20.8,9,4,163.79,-131.35,3,6,-52.72,-5.37,-131.35,813.52,0.6521739130434783
hold,180,0.2,1.5,0,0.5,5,0.5,1800,14,10,4048.55,760.28,12,2,-26.38,34.34,9,4,261.03,-34.11,3,6,-52.72,-1.38,-34.11,4309.58,0.6086956521739131
hold,180,0.2,1.5,3,0.4,0,0.3,900,2,1,0.32,-17.41,1,1,-17.41,0.16,2,1,383.26,-27.2,1,1,-27.2,191.63,-27.2,383.58,0.5
hold,180,0.2,1.5,3,0.4,0,0.3,1800,2,1,1.63,-17.41,1,1,-17.41,0.82,2,1,325.18,-27.2,1,1,-27.2,162.59,-27.2,326.81,0.5
hold,180,0.2,1.5,3,0.4,0,0.5,900,2,1,-8.65,-26.38,1,1,-26.38,-4.32,2,1,383.26,-27.2,1,1,-27.2,191.63,-27.2,374.61,0.5
hold,180,0.2,1.5,3,0.4,0,0.5,1800,2,1,-7.34,-26.38,1,1,-26.38,-3.67,2,1,325.18,-27.2,1,1,-27.2,162.59,-27.2,317.84000000000003,0.5
hold,180,0.2,1.5,3,0.4,5,0.3,900,2,1,0.32,-17.41,1,1,-17.41,0.16,2,1,267.94,-27.2,1,1,-27.2,133.97,-27.2,268.26,0.5
hold,180,0.2,1.5,3,0.4,5,0.3,1800,2,1,1.63,-17.41,1,1,-17.41,0.82,2,1,267.94,-27.2,1,1,-27.2,133.97,-27.2,269.57,0.5
