dev,group,metric,n,median,p25,p75,min,max,note
retardmode,misses,n_graduated_by_60s,0,,,,,,
retardmode,misses,n_dev_buy_in_create_slot,15,,,,,,dev_first_buy_s == 0
retardmode,misses,launchpad:Pump.fun,15,,,,,,dev_tokens.launchpad_platform
retardmode,all,launch_hour_utc:01,7,,,,,,launches created in this UTC hour (all rows of the launch list)
retardmode,all,launch_hour_utc:02,1,,,,,,launches created in this UTC hour (all rows of the launch list)
retardmode,all,launch_hour_utc:07,1,,,,,,launches created in this UTC hour (all rows of the launch list)
retardmode,all,launch_hour_utc:08,2,,,,,,launches created in this UTC hour (all rows of the launch list)
retardmode,all,launch_hour_utc:10,1,,,,,,launches created in this UTC hour (all rows of the launch list)
retardmode,all,launch_hour_utc:13,1,,,,,,launches created in this UTC hour (all rows of the launch list)
retardmode,all,launch_hour_utc:17,1,,,,,,launches created in this UTC hour (all rows of the launch list)
retardmode,all,launch_hour_utc:18,3,,,,,,launches created in this UTC hour (all rows of the launch list)
retardmode,all,launch_hour_utc:20,1,,,,,,launches created in this UTC hour (all rows of the launch list)
retardmode,all,launch_hour_utc:21,1,,,,,,launches created in this UTC hour (all rows of the launch list)
retardmode,hits,launch_hour_utc:01,1,,,,,,
retardmode,hits,launch_hour_utc:02,1,,,,,,
retardmode,hits,launch_hour_utc:13,1,,,,,,
retardmode,hits,launch_hour_utc:20,1,,,,,,
retardmode,all,launch_weekday:Mon,2,,,,,,
retardmode,all,launch_weekday:Sat,2,,,,,,
retardmode,all,launch_weekday:Sun,3,,,,,,
retardmode,all,launch_weekday:Thu,3,,,,,,
retardmode,all,launch_weekday:Tue,4,,,,,,
retardmode,all,launch_weekday:Wed,5,,,,,,
retardmode,all,gap_between_launches_h,18,19.582638888888887,1.9147916666666667,91.05541666666667,0.03361111111111111,3273.3297222222222,hours between consecutive launches
retardmode,all,n_gaps_lt_1h,4,,,,,,launch followed by another within 1 h
retardmode,all,n_gaps_lt_24h,9,,,,,,
retardmode,all,span_days,19,313.7641550925926,,,,,median = days from first to last launch
retardmode,all,hour_utc,19,8.0,1.0,17.5,1.0,21.0,distribution of the UTC hour of creation
retardmode,all,book_bundler_rate,19,0.0,0.0,0.01915,0.0,0.2747,dev_tokens.bundler_rate
