mark,self_buy_floor,trail_pct,tp_mult,hard_stop_pct,time_stop_s,triggers,wins,pnl_usd,avg_usd,median_usd,worst_usd,hits_caught,hits_total,misses_entered,pnl_ex_best_usd
90,0.5,0.3,3,0.4,1800,8,4,97.14,12.14,-0.02,-29.07,7,18,1,0.34
90,0.5,0.3,3,0.5,900,8,4,104.04,13.0,-0.02,-29.07,7,18,1,7.24
90,0.5,0.3,3,0.5,1800,8,4,93.07,11.63,-0.02,-29.07,7,18,1,-3.73
90,0.5,0.3,5,0.4,900,8,4,225.88,28.24,-0.02,-29.07,7,18,1,11.31
90,0.5,0.3,5,0.4,1800,8,4,214.91,26.86,-0.02,-29.07,7,18,1,0.34
90,0.5,0.3,5,0.5,900,8,4,221.81,27.73,-0.02,-29.07,7,18,1,7.24
90,0.5,0.3,5,0.5,1800,8,4,210.84,26.36,-0.02,-29.07,7,18,1,-3.73
90,0.5,0.4,0,0.4,900,8,4,356.47,44.56,10.3,-29.07,7,18,1,77.57
90,0.5,0.4,0,0.4,1800,8,4,1151.57,143.95,10.3,-29.07,7,18,1,19.45
90,0.5,0.4,0,0.5,900,8,4,352.4,44.05,10.3,-29.07,7,18,1,73.5
90,0.5,0.4,0,0.5,1800,8,4,1147.5,143.44,10.3,-29.07,7,18,1,15.38
90,0.5,0.4,3,0.4,900,8,4,205.13,25.64,10.3,-29.07,7,18,1,103.87
90,0.5,0.4,3,0.4,1800,8,4,182.19,22.77,10.3,-29.07,7,18,1,80.93
90,0.5,0.4,3,0.5,900,8,4,201.06,25.13,10.3,-29.07,7,18,1,99.8
90,0.5,0.4,3,0.5,1800,8,4,178.12,22.26,10.3,-29.07,7,18,1,76.86
90,0.5,0.4,5,0.4,900,8,4,292.14,36.52,10.3,-29.07,7,18,1,77.57
90,0.5,0.4,5,0.4,1800,8,4,234.02,29.25,10.3,-29.07,7,18,1,19.45
90,0.5,0.4,5,0.5,900,8,4,288.07,36.01,10.3,-29.07,7,18,1,73.5
90,0.5,0.4,5,0.5,1800,8,4,229.95,28.74,10.3,-29.07,7,18,1,15.38
90,0.5,0.5,0,0.4,900,8,5,377.73,47.22,17.84,-29.07,7,18,1,98.83
90,0.5,0.5,0,0.4,1800,8,4,1172.12,146.51,5.1,-29.07,7,18,1,40.0
90,0.5,0.5,0,0.5,900,8,5,373.66,46.71,17.84,-29.07,7,18,1,94.76
90,0.5,0.5,0,0.5,1800,8,4,1168.05,146.01,5.1,-29.07,7,18,1,35.93
90,0.5,0.5,3,0.4,900,8,5,226.39,28.3,17.84,-29.07,7,18,1,125.13
90,0.5,0.5,3,0.4,1800,8,4,179.64,22.46,5.1,-29.07,7,18,1,78.38
90,0.5,0.5,3,0.5,900,8,5,222.32,27.79,17.84,-29.07,7,18,1,121.06
90,0.5,0.5,3,0.5,1800,8,4,175.57,21.95,5.1,-29.07,7,18,1,74.31
90,0.5,0.5,5,0.4,900,8,5,313.4,39.18,17.84,-29.07,7,18,1,98.83
90,0.5,0.5,5,0.4,1800,8,4,254.57,31.82,5.1,-29.07,7,18,1,40.0
90,0.5,0.5,5,0.5,900,8,5,309.33,38.67,17.84,-29.07,7,18,1,94.76
90,0.5,0.5,5,0.5,1800,8,4,250.5,31.31,5.1,-29.07,7,18,1,35.93
180,0.2,0.3,0,0.4,900,14,8,198.69,14.19,8.13,-25.99,12,18,2,115.35
180,0.2,0.3,0,0.4,1800,14,7,160.0,11.43,0.6,-25.99,12,18,2,76.66
180,0.2,0.3,0,0.5,900,14,8,198.3,14.16,8.13,-26.38,12,18,2,114.96
180,0.2,0.3,0,0.5,1800,14,7,159.61,11.4,0.6,-26.38,12,18,2,76.27
180,0.2,0.3,3,0.4,900,14,8,256.38,18.31,8.13,-25.99,12,18,2,148.93
180,0.2,0.3,3,0.4,1800,14,8,3530.95,252.21,10.15,-25.99,12,18,2,242.68
