dev,mark,column,hits_n,hits_med,hits_p25,hits_p75,miss_n,miss_med,miss_p25,miss_p75
mitch,5m,dev_sold_share_120s,1,0.0,0.0,0.0,4,0.0,0.0,0.0
mitch,5m,dev_sold_share_300s,1,0.0,0.0,0.0,4,0.0,0.0,0.0
mitch,5m,sol_in_5m,1,170.01265299599999,170.01265299599999,170.01265299599999,4,91.118198245,72.83478808675,93.94159995925
mitch,5m,sol_out_5m,1,0.0,0.0,0.0,4,10.4389538355,6.901239106749999,14.90422207925
mitch,5m,net_sol_5m,1,170.01265299599999,170.01265299599999,170.01265299599999,4,81.31241338999999,60.59750485625,85.00659098425
mitch,5m,n_buys_5m,1,4.0,4.0,4.0,4,28.0,23.25,38.25
mitch,5m,n_wallets_5m,1,4.0,4.0,4.0,4,26.5,20.5,34.75
mitch,5m,member_buy_sol_5m,1,0.0,0.0,0.0,4,0.0,0.0,0.0
mitch,5m,member_buyers_5m,1,0.0,0.0,0.0,4,0.0,0.0,0.0
mitch,5m,outside_buy_sol_5m,1,85.33030737499999,85.33030737499999,85.33030737499999,4,43.11696632499999,24.08355616675,64.69036803924999
mitch,5m,top10_share_5m,1,1.0,1.0,1.0,4,0.9446394535999281,0.8799488350906268,0.998039578920658
mitch,5m,n_net_long_5m,1,4.0,4.0,4.0,4,19.5,10.25,30.75
mitch,5m,mult_120s,1,1.590676274590961,1.590676274590961,1.590676274590961,4,4.974197683375719,3.9012574867527867,5.588251203252778
mitch,5m,mult_300s,1,1.590676274590961,1.590676274590961,1.590676274590961,4,5.325438919759664,3.8127653883208437,6.475131075095205
mitch,5m,dev_sold_by_120s (share true),1,0.0,,,4,0.0,,
mitch,5m,dev_sold_by_300s (share true),1,0.0,,,4,0.0,,
mitch,5m,member_buy_by_5m (share true),1,0.0,,,4,0.0,,
